	Артикул	Наименование	Количество	Единица измерения	Цена для конечного пользователя, руб.	Стоимость для конечного пользователя, руб.	Примечания	Дата выдачи КП	Номер КП	Проектная скидка	"Цена с проектной скидкой,
  руб."	"Стоимость с проектной скидкой,
  руб."	Стандартная скидка	"Цена со стандартной скидкой,
  руб."	"Стоимость со стандартной скидкой,
  руб."	Цена для конечного пользователя, $	Стоимость для конечного пользователя, $	"Цена с проектной скидкой,
  $"	"Стоимость с проектной скидкой,
  $"	Цена для конечного пользователя, руб	Стоимость для конечного пользователя, руб	Цена с проектной скидкой, руб	Стоимость с проектной скидкой, руб	Цена , руб.	Стоимость руб.	проектная скидка	Цена со скидкой, руб.	Стоимость со скидкой, руб.	Цена для конечного пользователя, €	Стоимость для конечного пользователя, €	Цена с проектной скидкой, €	Стоимость с проектной скидкой, €	Скидка для конечного пользователя	Цена для конечного пользователя со скидкой, руб.	Стоимость для конечного пользователя со скидкой, руб.	Цена со специальной скидкой, $	Стоимость со специальной скидкой, $	"Цена с проектной скидкой,
  €"	"Стоимость с проектной скидкой,
  €"	"Цена,
  руб. "	скидка	цена со скидкой	стоимость со скидкой	Цена для конечного пользователя, Руб.	Стоимость для конечного пользователя, Руб.	"Цена с проектной скидкой,
  Руб."	"Стоимость с проектной скидкой,
  Руб."	Стоимость , руб.	Unnamed: 6	 руб.	спец ЕНДЮЗЕР	Цена со скидкой от , руб.	Входная стоимость	Стоимость для конечного пользователя, $.	"Цена с проектной скидкой,
  $."	"Стоимость с проектной скидкой,
  $."	"Ширина
мм"	"Глубина
мм"	Высота мм	Масса, кг	Unnamed: 2	Цена для конечного пользователя, $.
65	C3.PM0002	Датчик контроля двери	0.0	шт.	2100.0	0.0		24.05.2022	4235	0.33	1410.0	0.0																																																		
66	C3.PM0003	Датчик дымообнаружения	0.0	шт.	6500.0	0.0		24.05.2022	4235	0.33	4360.0	0.0																																																		
67	C3.PM0004	Датчик утечки воды	0.0	шт.	19000.0	0.0		24.05.2022	4235	0.33	12700.0	0.0																																																		
68	C3.PM0005	Модуль расширения портов датчиков	0.0	шт.	15000.0	0.0		24.05.2022	4235	0.33	10100.0	0.0																																																		
69	C3.OV2001	Органайзер кабельный C3 верт., 8 металл.колец, 17U, (1компл.=2шт.)	6.0	шт.	16200.0	97200.0		24.05.2022	4235	0.33	10900.0	65400.0																																																		
70	C3.OH1003	Органайзер кабельный C3 гориз., 5 металл.колец, 1U	6.0	шт.	1400.0	8400.0		24.05.2022	4235	0.33	940.0	5640.0																																																		
71	C3.CE1001	Щеточный ввод C3 гориз., 1U	1.0	шт.	2400.0	2400.0		24.05.2022	4235	0.33	1610.0	1610.0																																																		
72	C3.BP2001	Панель-заглушка C3 пластик., 1U, быстросъемн.	200.0	шт.	400.0	80000.0		24.05.2022	4235	0.33	270.0	54000.0																																																		
73	C3.IX3031_2	Кондиционер прецизионный C3 31кВт, 300*1200*2000, внутрирядный, фреон, пароувлажнение, внешний блок в компл., низкотемпературный комплект	2.0	шт.	4223600.0	8447200.0		24.05.2022	4235	0.33	2829800.0	5659600.0																																																		
74	C3.IX3031_3	Кондиционер прецизионный C3 31кВт, 300*1200*2000, внутрирядный, фреон, внешний блок в компл., низкотемпературный комплект	1.0	шт.	4025000.0	4025000.0		24.05.2022	4235	0.33	2696800.0	2696800.0																																																		
75	C3.TR1001	Перегородка сплошная C3, д/информац.кабелей, д/шкафов шириной 600 мм	5.0	шт.	2500.0	12500.0		24.05.2022	4235	0.33	1680.0	8400.0																																																		
76	C3.TR1003	Перегородка C3 с кабельным вводом, д/информац.кабелей, д/шкафов шириной 600 мм	5.0	шт.	2600.0	13000.0		24.05.2022	4235	0.33	1740.0	8700.0																																																		
77	C3.TR1005	Лоток C3 с кабельным вводом, д/силовых кабелей, д/шкафов шириной 600 мм	5.0	шт.	10700.0	53500.0		24.05.2022	4235	0.33	7200.0	36000.0																																																		
78	C3.TR1010	Перегородка C3 с кабельным вводом, д/информац.кабелей, д/кондиционеров сдвоенная шириной 300 мм	3.0	шт.	7200.0	21600.0		24.05.2022	4235	0.33	4820.0	14460.0																																																		
79	C3.TR1011	Лоток C3 с кабельным вводом, д/силовых кабелей, д/кондиционеров шириной 300 мм	3.0	шт.	9200.0	27600.0		24.05.2022	4235	0.33	6160.0	18480.0																																																		
80	C3.AD4219	Комплект дверной C3, 42U, прозрачн., д/коридора 900мм, 1 дверь	1.0	шт.	188000.0	188000.0		24.05.2022	4235	0.33	126000.0	126000.0																																																		
81	C3.AR2018_1	Панель потолочная C3 с аварийным откидыванием, 600*900мм	7.0	шт.	79500.0	556500.0		24.05.2022	4235	0.33	53300.0	373100.0																																																		
82	C3.AR2031_1	Панель потолочная C3 с аварийным откидыванием, 300*900мм	3.0	шт.	52800.0	158400.0		24.05.2022	4235	0.33	35400.0	106200.0																																																		
83	C3.AR2099	Блок питания для потолочных панелей, с каб.	1.0	шт.	18400.0	18400.0		24.05.2022	4235	0.33	12300.0	12300.0																																																		
84	C3.LA2102_1	Комплект освещения C3 для коридора шириной 900мм	10.0	шт.	11500.0	115000.0		24.05.2022	4235	0.33	7700.0	77000.0																																																		
85	C3.MM0400	Модуль монитор. C3, 4 порта датч.	1.0	шт.	151400.0	151400.0		24.05.2022	4235	0.33	101400.0	101400.0																																																		
86	C3.MM0800	Модуль монитор. C3, 8 портов датч.	0.0	шт.	187000.0	0.0		24.05.2022	4235	0.33	125300.0	0.0																																																		
87	C3.MM0820	Модуль монитор. C3, 8 портов датч. и 20 сухих контактов	0.0	шт.	229000.0	0.0		24.05.2022	4235	0.33	153400.0	0.0																																																		
88	C3.ME0400	Модуль расш. монитор. C3 на 4 порта датч.	0.0	шт.	71200.0	0.0		24.05.2022	4235	0.33	47700.0	0.0																																																		
89	C3.ME0020	Модуль расш. монитор. C3 на 20 сухих контактов	0.0	шт.	77600.0	0.0		24.05.2022	4235	0.33	52000.0	0.0																																																		
90	C3.ME0820	Модуль расш. монитор. C3 на 8 портов датч. и 20 сухих контактов	0.0	шт.	148900.0	0.0		24.05.2022	4235	0.33	99800.0	0.0																																																		
91	C3.MS0102	Датчик температуры, кабель 4.5м	5.0	шт.	23500.0	117500.0		24.05.2022	4235	0.33	15700.0	78500.0																																																		
92	C3.MS0101	Датчик температуры, кабель 0,3м	3.0	шт.	10200.0	30600.0		24.05.2022	4235	0.33	6800.0	20400.0																																																		
93	C3.MS0501	Датчик температуры/влажности, кабель 0,3м	2.0	шт.	28000.0	56000.0		24.05.2022	4235	0.33	18800.0	37600.0																																																		
94	C3.PS3001	Стоечный переключатель нагрузки C3, 1U, 230В, 16А, вход C20-2, выход С13-8, C19-1	0.0	шт.	96100.0	0.0		24.05.2022	4235	0.3307142857142857	64300.0	0.0																																																		
95	C3.PS3101	Сетевая карта SNMP для переключателя нагрузки	0.0	шт.	20300.0	0.0		24.05.2022	4235	0.3307142857142857	13600.0	0.0																																																		
96	C3.UM4515	Модульное шасси ИБП C3 11U д.установки 3 модулей 15кВА, макс мощность 45кВА\кВт, LCD,  статический байпас, сервисный байпас, RS-232, RS-485, EPO, SNMPSlot, сухие контакты	1.0	шт.	427400.0	427400.0		07.10.2022	4236	0.33	286400.0	286400.0																																																		
97	C3.UMM015	Силовой модуль C3 15 кВА, 230/400V, мультифазн., зарядное утройство 6А	3.0	шт.	310400.0	931200.0		07.10.2022	4236	0.33	208000.0	624000.0																																																		
98	C3.UMB005	Батарейный модуль C3, 4U, с АКБ 40*9Ач, один модуль содержит 4 кассеты	3.0	шт.	281200.0	843600.0		07.10.2022	4236	0.33	188400.0	565200.0																																																		
99	C3.UPN012	Встраиваемая карта SNMP с поддержкой датчика влажности и температуры	1.0	шт.	28500.0	28500.0		07.10.2022	4236	0.33	19095.0	19095.0																																																		
100	C3.RW1002	Шкаф напольно-навесной C3 6U 600*600, черный, дверь стекло	10.0	шт.	31300.0	313000.0		02.12.2022	4237	0.47	16600.0	166000.0																																																		
101	C3.FR1001	Вентиляторная полка C3 д/уст.в крышу шкафа напольно-навесного	10.0	шт.	13500.0	135000.0		02.12.2022	4237	0.47	7200.0	72000.0																																																		
102	C3.RF4202	Шкаф C3 42U 600*1200, черный, дверь перф.	2.0	шт.	186600.0	373200.0		02.12.2022	4237	0.47	98900.0	197800.0																																																		
103	C3.RF4802	Шкаф C3 48U 600*1200, черный, дверь перф.	0.0	шт.	224700.0	0.0		02.12.2022	4237	0.47	119100.0	0.0																																																		
104	C3.OH1013	Органайзер кабельный C3 гориз., с пальцами 150мм с крышкой, 1U	20.0	шт.	10400.0	208000.0		02.12.2022	4237	0.47	5500.0	110000.0																																																		
105	C3.OH1003	Органайзер кабельный C3 гориз., 5 металл.колец, 1U	24.0	шт.	1700.0	40800.0		02.12.2022	4237	0.47	900.0	21600.0																																																		
106	C3.OH3007	Кабельный органайзер универсальный 1200 мм черный	4.0	шт.	3600.0	14400.0		02.12.2022	4237	0.47	1910.0	7640.0																																																		
107	C3.SH1001	Полка д/размещ.оборуд.C3 стационарная, 1U, 125 кг	4.0	шт.	5700.0	22800.0		02.12.2022	4237	0.47	3020.0	12080.0																																																		
108	C3.SH1002	Полка д/размещ.оборуд.C3 выдвижная, 1U, 50 кг	4.0	шт.	13600.0	54400.0		02.12.2022	4237	0.47	7200.0	28800.0																																																		
109	C3.BP2001	Панель-заглушка C3 пластик., 1U, быстросъемн.	200.0	шт.	500.0	100000.0		02.12.2022	4237	0.47	270.0	54000.0																																																		
110	C3.PM4002	Блок распред.пит.с мониторингом C3, 1 фаза, 32А, С13-24, С19-6, разъем.с фикс, 2 авт., вх.IEC 309, каб.3м	4.0	шт.	139600.0	558400.0		02.12.2022	4237	0.47	74000.0	296000.0																																																		
111	C3.RF4209	Шкаф C3 42U 800*1200, черный, дверь перф.	3.0	шт.	213200.0	639600.0		02.12.2022	4237	0.47	113000.0	339000.0																																																		
112	C3.RF4809	Шкаф C3 48U 800*1200, черный, дверь перф.	0.0	шт.	256800.0	0.0		02.12.2022	4237	0.47	136100.0	0.0																																																		
113	C3.PM4002	Блок распред.пит.с мониторингом C3, 1 фаза, 32А, С13-24, С19-6, разъем.с фикс, 2 авт., вх.IEC 309, каб.3м	6.0	шт.	139600.0	837600.0		02.12.2022	4237	0.47	74000.0	444000.0																																																		
114	C3.OP4201	Органайзер кабельный C3 42U вертик., с пальцами 106мм	6.0	шт.	15600.0	93600.0		02.12.2022	4237	0.47	8300.0	49800.0																																																		
115	C3.OV2001	Органайзер кабельный C3 верт., 8 металл.колец, 17U, (1компл.=2шт.)	6.0	шт.	19600.0	117600.0		02.12.2022	4237	0.47	10400.0	62400.0																																																		
116	C3.OH1003	Органайзер кабельный C3 гориз., 5 металл.колец, 1U	6.0	шт.	1700.0	10200.0		02.12.2022	4237	0.47	900.0	5400.0																																																		
